26,1
57,1
58,1
62,1
67,1
68,1
69,1
173,1
175,1
226,1
228,1
229,1
240,1
241,1
245,1
228,2
229,2
69,3
228,3
229,3
240,3
245,3
228,4
229,4
240,4
245,4
26,5
57,5
58,5
68,5
69,5
173,5
175,5
228,5
229,5
240,5
241,5
244,5
245,5
26,6
57,6
58,6
62,6
68,6
69,6
173,6
175,6
226,6
228,6
229,6
240,6
241,6
244,6
245,6
26,7
57,7
68,7
69,7
173,7
174,7
175,7
184,7
185,7
228,7
229,7
240,7
244,7
245,7
26,8
57,8
68,8
69,8
173,8
175,8
228,8
229,8
240,8
245,8
68,9
69,9
173,9
175,9
184,9
185,9
228,9
229,9
240,9
245,9
246,9
264,9
68,10
69,10
173,10
184,10
185,10
240,10
245,10
246,10
264,10
68,11
69,11
70,11
173,11
174,11
175,11
176,11
183,11
184,11
185,11
229,11
240,11
245,11
263,11
264,11
265,11
267,11
268,11
269,11
68,12
69,12
70,12
173,12
174,12
176,12
183,12
184,12
185,12
229,12
245,12
264,12
267,12
68,13
69,13
70,13
176,13
184,13
185,13
229,13
264,13
267,13
68,14
69,14
70,14
176,14
184,14
185,14
267,14
68,15
69,15
70,15
176,15
178,15
183,15
184,15
185,15
264,15
265,15
267,15
268,15
269,15
68,16
69,16
70,16
174,16
176,16
178,16
182,16
183,16
184,16
185,16
251,16
253,16
254,16
263,16
264,16
267,16
268,16
269,16
182,17
182,18
182,19
258,19
259,19
183,20
184,20
248,20
251,20
252,20
253,20
254,20
255,20
256,20
257,20
258,20
259,20
260,20
261,20
262,20
263,20
264,20
291,20
185,21
247,21
248,21
249,21
250,21
251,21
252,21
253,21
254,21
255,21
256,21
257,21
258,21
259,21
260,21
261,21
262,21
263,21
264,21
265,21
266,21
267,21
268,21
269,21
270,21
271,21
272,21
273,21
274,21
275,21
277,21
278,21
279,21
280,21
282,21
283,21
284,21
285,21
286,21
287,21
288,21
289,21
290,21
70,22
185,22
248,22
249,22
250,22
251,22
264,22
265,22
266,22
267,22
268,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
